Address,Amenities,Neighborhood,NeighborhoodLink,PropertyId,PropertyName,PropertyUrl,ReviewScore,VerifiedListing
8800 N Interstate 35,"['Package Service', 'Laundry Facilities', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Vision Impaired Accessible', 'Recycling', 'Laundry Service', 'Pet Play Area', 'Business Center', 'Clubhouse', 'Fitness Center', 'Spa', 'Playground', 'Tennis Court', 'Volleyball Court', 'Gameroom', 'Gated', 'Grill', 'Picnic Area', 'High Speed Internet Access', 'Washer/Dryer', 'Washer/Dryer Hookup', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Fireplace', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Range', 'Refrigerator', 'Hardwood Floors', 'Carpet', 'Window Coverings', 'Balcony', 'Patio', 'Grill']",Austin,https://www.apartments.com/austin-tx/,vsqwbgg,Starburst Apartments,https://www.apartments.com/starburst-apartments-austin-tx/vsqwbgg/,4.0,Verified Listing
8405 Old Bee Cave Rd,"['patio/balcony', 'Hiking Trails', 'Learning Center w/Computer Lab', 'Walk-In Closets', '9 Foot Ceilings', 'Sports Court', 'W/D Connections', 'Close to Major Employers', 'Laundry Facilities', 'Pool', 'Playground', 'Basketball Court', 'Walking/Biking Trails', 'Grill', 'Picnic Area', 'High Speed Internet Access', 'Washer/Dryer', 'Washer/Dryer Hookup', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Tub/Shower', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Pantry', 'Range', 'Tile Floors', 'Dining Room', 'Built-In Bookshelves', 'Views', 'Walk-In Closets', 'Linen Closet', 'Balcony', 'Patio']",West Oak Hill,https://www.apartments.com/west-oak-hill-austin-tx/,lmxceme,Southwest Trails,https://www.apartments.com/southwest-trails-austin-tx/lmxceme/,4.0,Verified Listing
8312 N Interstate 35,"['Renovated Unit', 'Laundry Facilities', 'Maintenance on site', '24 Hour Access', 'Online Services', 'Pool', 'Playground', 'High Speed Internet Access', 'Washer/Dryer', 'Washer/Dryer Hookup', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Cable Ready', 'Tub/Shower', 'Fireplace', 'Dishwasher', 'Disposal', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Kitchen', 'Range', 'Refrigerator', 'Carpet', 'Vinyl Flooring', 'Dining Room', 'Walk-In Closets', 'Window Coverings', 'Balcony', 'Porch']",Georgian Acres,https://www.apartments.com/georgian-acres-austin-tx/,cmlfp5d,Woodland Heights,https://www.apartments.com/woodland-heights-austin-tx/cmlfp5d/,3.6,Verified Listing
6324 N Lamar Blvd,"['Climate Controlled Interior Hallways', 'Centralized Package Pick Up Location', 'Eight Foot Ceilings', 'Walk In Frameless Glass Showers', 'Farmhouse Sinks', 'Energy Efficient Lighting', 'Pre-wired For At&t Fiber', 'Package Service', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', '24 Hour Access', 'On-Site Retail', 'Recycling', 'Online Services', 'Planned Social Activities', 'Pet Play Area', 'Pet Washing Station', 'Public Transportation', 'Key Fob Entry', 'Elevator', 'Lounge', 'Storage Space', 'Disposal Chutes', 'Bicycle Storage', 'Gated', 'Fenced Lot', 'Individual Locking Bedrooms', 'High Speed Internet Access', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Trash Compactor', 'Storage Space', 'Tub/Shower', 'Sprinkler System', 'Dishwasher', 'Disposal', 'Ice Maker', 'Stainless Steel Appliances', 'Pantry', 'Kitchen', 'Microwave', 'Oven', 'Refrigerator', 'Freezer', 'Carpet', 'Vinyl Flooring', 'Vaulted Ceiling', 'Walk-In Closets', 'Large Bedrooms', 'Balcony', 'Patio']",Brentwood,https://www.apartments.com/brentwood-austin-tx/,41etr4l,Ellis Highline,https://www.apartments.com/ellis-highline-austin-tx/41etr4l/,No reviews,Verified Listing
5800 Brodie Ln,"['Attached Garage', 'Clubhouse', 'Courtyard', 'Gated Community', 'Outdoor Grill Area', 'Recycling', 'Coffee Bar', 'Walking Trail', 'Bike And Walking Trail', 'Close To Shopping', 'On Site Maintenance', 'On-Site Management', 'Pet Park', 'Package Service', 'Washer And Dryer', 'Attached Garages', 'Business Center With Wifi', 'Dog Park', 'Emergency Maintenance', 'Package Acceptance', 'Planned Social Events', 'Community Wifi', 'Gated', 'Grilling Area', 'On Site Laundry', 'Pest Control Service', 'Playground', 'Close To Public Transportation', 'Courtesy Officer', 'Lounge', 'Paperless Billing', 'Storage Units', 'Carports', 'Dog Wash Station', 'No Breed Restrictions', 'Private Yard', 'Sun Deck', 'Vegetable Garden', 'Wifi', 'Package Service', 'Community-Wide WiFi', 'Wi-Fi', 'Laundry Facilities', 'Maintenance on site', 'Property Manager on Site', 'Recycling', 'Planned Social Activities', 'Pet Play Area', 'Pet Washing Station', 'Business Center', 'Clubhouse', 'Lounge', 'Storage Space', 'Fitness Center', 'Pool', 'Playground', 'Walking/Biking Trails', 'Gated', 'Sundeck', 'Courtyard', 'Grill', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Cable Ready', 'Security System', 'Storage Space', 'Double Vanities', 'Dishwasher', 'Disposal', 'Ice Maker', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Carpet', 'Vinyl Flooring', 'Views', 'Walk-In Closets', 'Balcony', 'Patio', 'Deck', 'Yard']",Sunset Valley,https://www.apartments.com/sunset-valley-austin-tx/,e4fs7cn,MAA Sunset Valley,https://www.apartments.com/maa-sunset-valley-austin-tx/e4fs7cn/,4.1,Verified Listing
2301 S MoPac Expy,"['Crown Molding', 'Smart Locks', 'Electric Vehicle Charging Stations', 'LEED Certified Building', 'Free Wi-Fi In Amenity Areas', 'Granite Vanities and Countertops', 'ENERGY STAR ® Appliances', 'Greenbelt and City Views*', 'Plank Flooring', 'Bike Racks', 'Grilling Area', 'Stainless Steel Appliances', ""9'-10' Ceilings"", 'Balcony', 'Add Easy Access to Hike and Bike Trails', 'Eanes ISD', 'Fireplaces in Select Homes*', 'Green Space', 'Recycling', 'Washer/Dryer', 'Yards Attached to Select Homes*', 'Package Service', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Furnished Units Available', 'Recycling', 'Business Center', 'Clubhouse', 'Fitness Center', 'Spa', 'Pool', 'Walking/Biking Trails', 'Gated', 'Grill', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Cable Ready', 'Tub/Shower', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Granite Countertops', 'Stainless Steel Appliances', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Carpet', 'Crown Molding', 'Walk-In Closets', 'Balcony']",Barton Creek,https://www.apartments.com/barton-creek-austin-tx/,esem3bq,Gables at the Terrace,https://www.apartments.com/gables-at-the-terrace-austin-tx/esem3bq/,4.1,Verified Listing
7624 Tecoma Cir,"['Electric Vehicle Charging Stations', 'Fenced Yard in Select Apartments', 'LED Lighting', 'WiFi Access Throughout Amenity Areas', 'Bark Park and Dog Wash Station', 'Beautiful Landscaping', 'Bronze Certified Green Building', 'Guest Parking', 'Package Lockers', 'Urban-Inspired Apartments', '17-Foot Vaulted Ceilings*', 'Athletic Center', 'Fenced Yards', 'Oversized Tub Walk-In Shower', 'Recessed LED Lighting', 'Texas Hill Country Views', 'Two Resident Lounges with WiFi & Media', '10 Minutes to Hill Country Galleria', '17 ft Ceilings on Top Floors', 'Private Balconies', 'Reserved Garages & Carports', 'Solar Shades', 'Whirlpool EnergyStar Stainless Steel Appliances', 'ENERGY STAR® Certified Community', 'Hand-scraped Hickory Hardwood Floors*', 'Nest Thermostats', 'Polished Concrete Floors*', 'Stained Concrete & Hardwood Flooring', 'Urban-Style One, Two & Three Bedroom Community', 'Downtown Austin & Hill Country Views Available *', 'Garages Available', 'Hickory Hardwood Floors', 'Quartz Countertops', 'Gated Access', 'Oversized Tub and Walk in Shower', 'Air Conditioner', 'Bicycle Racks', 'Front Load Washer/Dryer Included in Every Unit', 'Package Service', 'Wi-Fi', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Trash Pickup - Door to Door', 'Recycling', 'Renters Insurance Program', 'Online Services', 'Planned Social Activities', 'Pet Play Area', 'Pet Washing Station', 'EV Charging', 'Clubhouse', 'Lounge', 'Storage Space', 'Corporate Suites', 'Fitness Center', 'Pool', 'Bicycle Storage', 'Walking/Biking Trails', 'Gated', 'Sundeck', 'Grill', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Cable Ready', 'Security System', 'Storage Space', 'Tub/Shower', 'Sprinkler System', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Island Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Carpet', 'Dining Room', 'Recreation Room', 'Den', 'Crown Molding', 'Vaulted Ceiling', 'Views', 'Skylights', 'Walk-In Closets', 'Double Pane Windows', 'Window Coverings', 'Balcony', 'Patio', 'Yard']",East Oak Hill,https://www.apartments.com/east-oak-hill-austin-tx/,m377rhl,Berkshire Santal,https://www.apartments.com/berkshire-santal-austin-tx/m377rhl/,3.8,Verified Listing
709 Lamar Pl,"['Wi-Fi', 'Laundry Facilities', 'Recycling', 'Gated', 'Courtyard', 'Grill', 'Picnic Area', 'High Speed Internet Access', 'Wi-Fi', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Smoke Free', 'Tub/Shower', 'Framed Mirrors', 'Dishwasher', 'Disposal', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Hardwood Floors', 'Walk-In Closets', 'Window Coverings']",Highland,https://www.apartments.com/highland-austin-tx/,wtftwvk,The Victoria,https://www.apartments.com/the-victoria-austin-tx/wtftwvk/,3.0,Verified Listing
6007 N Interstate 35,"['Ceiling Fans in Every Room', 'Downtown View', 'Electric Vehicle Chargers', 'Electronic Honeywell Thermostat', 'Honeywell Smart Home Security System', 'Secondary (Street) Entrance', 'Stainless Steel Appliances', 'Air Conditioning', 'Dishwasher', 'Microwave', 'Refrigerator', 'Wine Storage*', '2nd Floor', '4th Floor', '9-Foot Ceilings', 'Keyless Entry', 'Spanish Speaking Staff', 'Vinyl Floors (No Carpet)', 'Secondary (Street) Entrance*', 'BBQ Grills', 'Garbage Disposal', 'Ground Floor', 'Off Street Parking', 'Spectrum Fiber Internet & TV', '3rd Floor', 'Bike Storage', 'Courtyard View', 'Walk-In Closets*', 'In-Unit Washer & Dryer', 'Multiple Outdoor Courtyards', 'Patio', 'Top Floor', 'Green Building', 'North View', 'Valet Trash & Recycling', 'West View', 'White Quartz Counters', 'Package Service', 'Wi-Fi', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Trash Pickup - Door to Door', 'Recycling', 'Online Services', 'Pet Play Area', 'EV Charging', 'Key Fob Entry', 'Elevator', 'Clubhouse', 'Lounge', 'Disposal Chutes', 'Fitness Center', 'Pool', 'Bicycle Storage', 'Gated', 'Sundeck', 'Courtyard', 'Grill', 'Dog Park', 'High Speed Internet Access', 'Wi-Fi', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Security System', 'Trash Compactor', 'Handrails', 'Framed Mirrors', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Ice Maker', 'Stainless Steel Appliances', 'Pantry', 'Island Kitchen', 'Eat-in Kitchen', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Instant Hot Water', 'Quartz Countertops', 'Vinyl Flooring', 'High Ceilings', 'Built-In Bookshelves', 'Views', 'Walk-In Closets', 'Linen Closet', 'Large Bedrooms', 'Balcony', 'Patio']",Windsor Park,https://www.apartments.com/windsor-park-austin-tx/,5kwcx5p,Windsor Park Towers,https://www.apartments.com/windsor-park-towers-austin-tx/5kwcx5p/,No reviews,Verified Listing
12601 Innovar Cir,"['1st Floor', 'Direct Access to 5 Miles of Hike & Bike Trails', 'Bike Storage Available', 'Quartz Countertops', '3rd Floor', 'Paw Spa', 'Pendant Lighting', 'Resident Controlled Access', 'Stainless Steel Appliances', '9 & 10 Ft. Ceilings', 'Double Bowled Vanities*', 'EV Charging Stations', 'Resort Style Pool with Outdoor Cabana & Outdoor K', 'Tiled Showers & Bathrooms', 'Pool View', 'Stainless Appliance Package', '*In Select Units', 'Designer Lighting Package', 'Designer Shaker Style Cabinetry', 'HIT Center', 'Unlimited Hot Water with Teal System', 'Walk-In Closets*', 'Walk-In Showers', 'Washer & Dryer', '4-Story Garden-Style Buildings with Elevators', '4th Floor', 'Detached Garages Available', 'Kitchen & Lounge', 'On-site & Online Property Management Access with R', 'Bark Park', 'Glass Showers', 'Indoor Mailroom', 'In-Unit Washer & Dryer', 'LED Lights', 'Outdoor Grills & Kitchen Areas', 'Private Co-Working Spaces', 'Package Service', 'Controlled Access', 'Maintenance on site', 'Property Manager on Site', 'Concierge', 'Hearing Impaired Accessible', 'Vision Impaired Accessible', 'Trash Pickup - Door to Door', 'Recycling', 'Online Services', 'Planned Social Activities', 'Pet Play Area', 'Pet Washing Station', 'EV Charging', 'Key Fob Entry', 'Clubhouse', 'Lounge', 'Breakfast/Coffee Concierge', 'Conference Rooms', 'Fitness Center', 'Spa', 'Pool', 'Bicycle Storage', 'Walking/Biking Trails', 'Gated', 'Sundeck', 'Cabana', 'Courtyard', 'Grill', 'Picnic Area', 'Washer/Dryer', 'Air Conditioning', 'Heating', 'Ceiling Fans', 'Double Vanities', 'Tub/Shower', 'Framed Mirrors', 'Wheelchair Accessible (Rooms)', 'Dishwasher', 'Disposal', 'Ice Maker', 'Granite Countertops', 'Stainless Steel Appliances', 'Pantry', 'Kitchen', 'Microwave', 'Oven', 'Range', 'Refrigerator', 'Freezer', 'Instant Hot Water', 'Hardwood Floors', 'Carpet', 'Vaulted Ceiling', 'Walk-In Closets', 'Double Pane Windows', 'Window Coverings', 'Large Bedrooms', 'Balcony', 'Patio']",Parmer Lane,https://www.apartments.com/parmer-lane-austin-tx/,g035h8w,The Vaughan,https://www.apartments.com/the-vaughan-austin-tx/g035h8w/,4.1,Verified Listing
